idDistricte,districte,biblioteca,visites,prestecs,prLlibre,habBiblio,pobl,numBiblios,bibcentmhab,prLlibresPrTotal,prTotlaVisita,prLlibreVisita,infoExtra,visitesMostrar,prestecsMostrar,prLlibreMostrar,habBiblioMostrar,poblMostrar,numBibliosMostrar,bibcentmhabMostrar,prLlibresPrTotalMostrar,prLlibreVisitaMostrar
1,Ciutat Vella,Biblioteca Barceloneta-La Fraternitat,84919,64157,31073,25028.75 ,100115.00 ,4,4.00,48.43,0.76,0.37,,84.919,64.157,31.073,25.029,100.115,4,4,"4,8","3,7"
1,Ciutat Vella,Biblioteca Francesca Bonnemaison,144458,114844,62853,25028.75 ,100115.00 ,4,4.00,54.73,0.79,0.44,,144.458,114.844,62.853,25.029,100.115,4,4,"5,5","4,4"
1,Ciutat Vella,Biblioteca Gòtic-Andreu Nin,85241,52408,25302,25028.75 ,100115.00 ,4,4.00,48.28,0.61,0.30,,85.241,52.408,25.302,25.029,100.115,4,4,"4,8",3
1,Ciutat Vella,Biblioteca Sant Pau-Santa Creu ,195987,89918,50596,25028.75 ,100115.00 ,4,4.00,56.27,0.46,0.26,,195.987,89.918,50.596,25.029,100.115,4,4,"5,6","2,6"
2,Eixample,Biblioteca Esquerra de l'Eix.-A. Centelles ,331382,189834,117243,43926.33 ,263558.00 ,6,2.30,61.76,0.57,0.35,,331.382,189.834,117.243,43.926,263.558,6,"2,3","6,2","3,5"
2,Eixample,Biblioteca Fort Pienc  ,89383,45543,2563,43926.33 ,263558.00 ,6,2.30,56.28,0.51,0.29,Tancada 16/6 – 31/12,89.383,45.543,2.563,43.926,263.558,6,"2,3","5,6","2,9"
2,Eixample,Biblioteca Joan Miró ,43936,15574,9114,43926.33 ,263558.00 ,6,2.30,58.52,0.35,0.21,Tancada 1/1 – 8/10,43.936,15.574,9.114,43.926,263.558,6,"2,3","5,9","2,1"
2,Eixample,Biblioteca Sagrada Família,322837,182223,120082,43926.33 ,263558.00 ,6,2.30,65.90,0.56,0.37,Tancada 1/8 – 20/9,322.837,182.223,120.082,43.926,263.558,6,"2,3","6,6","3,7"
2,Eixample,Biblioteca Sant Antoni-Joan Oliver,143175,96993,57386,43926.33 ,263558.00 ,6,2.30,59.17,0.68,0.40,,143.175,96.993,57.386,43.926,263.558,6,"2,3","5,9",4
2,Eixample,Biblioteca Sofia Barat,101088,71462,42371,43926.33 ,263558.00 ,6,2.30,59.29,0.71,0.42,,101.088,71.462,42.371,43.926,263.558,6,"2,3","5,9","4,2"
3,Sants-Montjuïc,Biblioteca Francesc Candel,146186,93846,46834,60252.33 ,180757.00 ,3,1.70,49.91,0.64,0.32,,146.186,93.846,46.834,60.252,180.757,3,"1,7",5,"3,2"
3,Sants-Montjuïc,Biblioteca Poble-Sec Francesc Boix,97670,68878,39948,60252.33 ,180757.00 ,3,1.70,58.00,0.71,0.41,,9.767,68.878,39.948,60.252,180.757,3,"1,7","5,8","4,1"
3,Sants-Montjuïc,Biblioteca Vapor Vell,290584,148613,91899,60252.33 ,180757.00 ,3,1.70,61.84,0.51,0.32,,290.584,148.613,91.899,60.252,180.757,3,"1,7","6,2","3,2"
4,Les Corts,Biblioteca Can Rosés,111632,56538,32929,40765.00 ,81530.00 ,2,2.50,58.24,0.51,0.29,,111.632,56.538,32.929,40.765,81.530,2,"2,5","5,8","2,9"
4,Les Corts,Biblioteca Les Corts-Miquel Llongueras,11424,50384,32271,40765.00 ,81530.00 ,2,2.50,64.05,0.44,0.28,Tancada 1/7 – 31/10,11.424,50.384,32.271,40.765,81.530,2,"2,5","6,4","2,8"
5,Sarrià-Sant Gervasi,Biblioteca Clarà,84444,67067,38256,48944.67 ,146834.00 ,3,2.00,57.04,0.79,0.45,,84.444,67.067,38.256,48.945,146.834,3,2,"5,7","4,5"
5,Sarrià-Sant Gervasi,Biblioteca Collserola-Josep Miracle,28317,25725,13472,48944.67 ,146834.00 ,3,2.00,52.37,0.91,0.48,,28.317,25.725,13.472,48.945,146.834,3,2,"5,2","4,8"
5,Sarrià-Sant Gervasi,Biblioteca Sant Gervasi-Joan Maragall,230954,107936,6947,48944.67 ,146834.00 ,3,2.00,64.36,0.47,0.30,,230.954,107.936,6.947,48.945,146.834,3,2,"6,4",3
6,Gràcia,Biblioteca Jaume Fuster,731746,244183,153651,40133.67 ,120401.00 ,3,2.50,62.92,0.33,0.21,,731.746,244.183,153.651,40.134,120.401,3,"2,5","6,3","2,1"
6,Gràcia,Biblioteca Vallcarca i els Penitents ,60366,44001,23757,40133.67 ,120401.00 ,3,2.50,53.99,0.73,0.39,,60.366,44.001,23.757,40.134,120.401,3,"2,5","5,4","3,9"
6,Gràcia,Biblioteca Vila de Gràcia,212663,124943,73701,40133.67 ,120401.00 ,3,2.50,58.99,0.59,0.35,,212.663,124.943,73.701,40.134,120.401,3,"2,5","5,9","3,5"
7,Horta-Guinardó,Biblioteca El Carmel-Juan Marsé,129883,94716,49154,41639.75 ,166559.00 ,4,2.40,51.90,0.73,0.38,,129.883,94.716,49.154,41.640,166.559,4,"2,4","5,2","3,8"
7,Horta-Guinardó,Biblioteca Guinardó-Mercè Rodoreda,206597,117162,69513,41639.75 ,166559.00 ,4,2.40,59.33,0.57,0.34,,206.597,117.162,69.513,41.640,166.559,4,"2,4","5,9","3,4"
7,Horta-Guinardó,Biblioteca Horta-Can Mariner,183184,9873,59658,41639.75 ,166559.00 ,4,2.40,60.43,0.54,0.33,,183.184,9.873,59.658,41.640,166.559,4,"2,4",6,"3,3"
