ANY,MES,DIA,HORA,MORTS_LLIBRE,MORTS_TOTALS,MORTS,FERITS,COORDENADES,ADREÇA,AVIO,UNITAT,QUI
1938,1,25,,267,566,70,61,"41.382895, 2.144280",presó model,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.383177, 2.145020",presó model,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.397636, 2.171210",p.s.joan- república,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.401000, 2.167423",,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.403475, 2.164108",,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.383619, 2.145375",p.model,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.375813, 2.158313",rocafort 8,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377601, 2.160567",viladomat 50,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.381800, 2.154474",viladomat 151,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.380009, 2.156136",g.via 482,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377883, 2.161789",borrell 61,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377937, 2.161712",borrell63,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377806, 2.161584",manso 49,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377665, 2.161736",manso 51,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377749, 2.161864",manso 53,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.376831, 2.162822",parlament 37,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.376019, 2.166766",rda s.pau 20,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,"41.377171, 2.164870",rda s.pau 31,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,25,,267,566,70,61,??,fluvià???,diversos Savoia S.79,Aviació Legionària Italiana,concha
1938,1,30,9:00 i 11:20,158,724,210,125,"41.382751, 2.175691",Sant Domenec del call 10,diversos savoia S. 79,Aviació Legionària italiana,Nico
