ANY,MES,DIA,MORTS_LLIBRE,MORTS_TOTALS,MORTS,FERITS,HORA,COORDENADES,CARRER,AVIO,UNITAT,QUI
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373320, 2.179054",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.371029, 2.180465",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373134, 2.180663",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.371544, 2.183630",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.371041, 2.185363",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.370449, 2.187546",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.368335, 2.185180",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.367928, 2.185443",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.367497, 2.186425",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.368338, 2.187900",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.368358, 2.188635",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.367428, 2.187868",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.367424, 2.188399",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.367396, 2.188823",Zona del Port,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.376618, 2.171058",Carrer Tàpies 6,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.375970, 2.170280",,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.376352, 2.169652",,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.376517, 2.169164",passatge Pau 9,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.377656, 2.167408",Sant Pacià,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.377290, 2.167306",Sant Pacià,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.377012, 2.168234",Carretes,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373795, 2.158762",Olivera,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373574, 2.159336",Olivera,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373353, 2.159867",Olivera,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.373132, 2.159422",Olivera,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.378966, 2.176487",Primer de Maig,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.378165, 2.177479",Primer de Maig,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.377111, 2.177470",,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,21,34,2341,Indeterminades,Indeterminades,Tot el dia,"41.377662, 2.177517",,34 He-111 i 3 Ju-87,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.373985, 2.185086",zona port,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.373796, 2.185993",zona port,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.371792, 2.186607",zona port,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.376166, 2.190210",zona port,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.384041, 2.191423",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.383675, 2.190645",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.383590, 2.191273",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.383731, 2.192373",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.382383, 2.192335",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.381308, 2.193370",Fabrica de Gas,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.385040, 2.193070",Barceloneta,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.386002, 2.192485",Barceloneta,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.388164, 2.193927",Barceloneta,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.383703, 2.184005", avinguda de Maristany ,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.383703, 2.184005", avinguda de Maristany ,Heinkel He-111,Legió Còndor alemanya,Nico
1939,1,24,63,2404,Indeterminades,Indeterminades,Tot el dia,"41.382049, 2.180432",Muralles Roamnes,Heinkel He-111,Legió Còndor alemanya,Nico
